Univ,College,Major,Continent,Country,Foreign Univ,Semester,Url
KHU,호텔관광대학,Hospitality경영학부,Europe,덴마크,Aarhus University,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4407&b_code=12&page=119&s1=&s2=&b_ex1=&idx_no=1283&perpage=15
KHU,정경대학,무역학과,Oceania,호주,Western Sydney University,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4406&b_code=12&page=119&s1=&s2=&b_ex1=&idx_no=1282&perpage=15
KHU,경영대학,경영학부,Asia,중국,북경제2외국어대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4405&b_code=12&page=119&s1=&s2=&b_ex1=&idx_no=1281&perpage=15
KHU,이과대학,화학과,Europe,스웨덴,linkoping university,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4404&b_code=12&page=120&s1=&s2=&b_ex1=&idx_no=1280&perpage=15
KHU,외국어대학,중국어학과,Asia,중국,절강이공대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4402&b_code=12&page=120&s1=&s2=&b_ex1=&idx_no=1279&perpage=15
KHU,문과대학,영어학부,Europe,스웨덴,Jonkoping university educa..,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4401&b_code=12&page=120&s1=&s2=&b_ex1=&idx_no=1278&perpage=15
KHU,문과대학,영어학부,Northern America,미국,fairleigh dickinson universi..,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4400&b_code=12&page=120&s1=&s2=&b_ex1=&idx_no=1277&perpage=15
KHU,이과대학,화학과,Northern America,캐나다,Lakehead University,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4399&b_code=12&page=120&s1=&s2=&b_ex1=&idx_no=1276&perpage=15
KHU,정경대학,행정학과,Europe,덴마크,오르후스 대학교,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4398&b_code=12&page=120&s1=&s2=&b_ex1=&idx_no=1275&perpage=15
KHU,외국어대학,러시아어학과,Asia,카자흐스탄,카자흐스탄 국제관계 및 세..,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4397&b_code=12&page=120&s1=&s2=&b_ex1=&idx_no=1274&perpage=15
KHU,공과대학,화학공학과,Europe,스웨덴,Linköping university,2016-1,http://oiak.khu.ac.kr/program/notice_view.php?idx=4396&b_code=12&page=120&s1=&s2=&b_ex1=&idx_no=1273&perpage=15
